,Type,Price(Cr),Bath(s),Area(Marla),Bedroom(s),Location,Description,Amenities: Main Features,Amenities: Rooms,Amenities: Business and Communication,Amenities: Community Features,Amenities: Healthcare Recreational,Amenities: Other Facilities,IsPrimeLoc,SolarInstalled,WaterBore,CornerHouse,luxury_type,Built in year,Parking Spaces,Floor,Lobby in Building,Elevators,Service Elevators in Building,Floor in Building,Bedrooms,Bathrooms,Servant Quarters,Kitchens,Store Rooms,Community Swimming Pool,Community Gym,Swimming Pool,Sauna,Jacuzzi,Security Staff,Maintenance Staff,Facilities for Disabled,Laundry or Dry Cleaning Facility,Communal/Shared Kitchen,Storey Unit
241,Flat,1.4,6.0,4.1,5.0,Faisal Hills,"930 Sq Ft ( 2 Bed ) Apartment Available For Sale. In Serene Hills Faisal Hills Islamabad. Executive and A Block Main Boulevard. Payment Plan: Total Amount: Rs 13,950,000 Booking 5%: Rs 697,500 Confirmation 10%: Rs 139,5000 37 Monthly Instalments: Rs 124,419 8 Half Yearly: Rs 558,000. Possession: Rs 2,790,000 Interested People Can Contact Easily.","Built in year: 2025, Parking Spaces, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Other Main Features","Bedrooms: 5, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities",False,False,False,False,0,2025.0,1.0,,,,,,5.0,6.0,1.0,2.0,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,
242,Flat,1.55,2.0,5.2,2.0,E-11,2 Bed Attach Bath Tv Lounge Kitchen Terres Tile Flooring Seeling Roof Under Ground Car Parking Pouder Room Masque In Building 2 Lift Installed 24/7 Security Front Facing For Any Information Plz Contact Us,"Built in year: 1, Parking Spaces: 2, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Floor: 2, Floors in Building: 10, Elevators: 2, Service Elevators in Building","Bedrooms: 2, Bathrooms: 2, Drawing Room, Dining Room, Kitchens: 1, Lounge or Sitting Room",,Mosque,,"Maintenance Staff, Security Staff, Laundry or Dry Cleaning Facility",False,False,False,False,0,1.0,2.0,2.0,1.0,2.0,1.0,10.0,2.0,2.0,,1.0,,,,,,,1.0,1.0,,1.0,,
243,Flat,1.04,1.0,3.0,1.0,B-17,"1 Bed Apartment Available For Sale. In Eaden Heights. Project of TANVEER Associates. In MPCHS B-17 Block B Islamabad. 1 Bed Apartment. 1 Bath. 1 Kitchen. TV Lounge. Lift Available. Payment Plan: Apartment Size: 673 Sq Ft. Total Amount: Rs 1,04,31,035 10 % Down Payment: Rs 10,43,103 Confirmation: Rs 10,43,103 ( within 30 Days ) Monthly 30 Installments: Rs 208,601 10 % Discount on Lumpsum Payment: Discounted Price: Rs 95,96,552. Interested People Can Contact Easily.","Parking Spaces: 1, Flooring, Floor","Bedrooms: 1, Bathrooms: 1, Drawing Room, Dining Room, Kitchens: 1, Lounge or Sitting Room, Laundry Room","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Sauna, Jacuzzi, Other Healthcare and Recreation Facilities",,False,False,False,False,1,,1.0,1.0,,,,,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,,,,,,
247,Flat,1.75,3.0,6.2,2.0,Gulberg,"Discover elevated living in this beautifully designed 2-bedroom apartment located in the prestigious Gulberg Heights, right in the heart of Gulberg Greens, Islamabad. Size: 1,400 Sqft Bedrooms: 2 Bathrooms: 2 Living Room & Dining Area Open-Concept Kitchen Reserved Basement Parking Elevators & 24/7 Security Key Features: Spacious layout with modern interiors Large windows for natural light and ventilation Built-in wardrobes and imported fittings High-speed lifts and uninterrupted power backup Family-friendly and secure environment Proximity to schools, malls, restaurants, and expressway Prime Location: Situated on the Main Gulberg Expressway, Gulberg Heights offers unmatched connectivity to Blue Area, Airport, and other major zones of Islamabad. Asking Price: PKR 1.75 Crore (Negotiable) For More Details or to Schedule a Visit: Call/WhatsApp: View Contact Detail","Built in year: 2023, Parking Spaces: 1, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor: 4, Floors in Building: 8, Elevators: 2, Service Elevators in Building, Other Main Features, Furnished","Bedrooms: 2, Bathrooms: 3, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Steam Room, Lounge or Sitting Room, Laundry Room","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre","Sauna, Jacuzzi","Maintenance Staff, Security Staff, Facilities for Disabled",True,False,False,False,0,2023.0,1.0,4.0,1.0,2.0,1.0,8.0,2.0,3.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,
253,Flat,7.2,2.0,6.5,2.0,Diplomatic Enclave,"Luxurious 2-Bedroom Semi-Furnished Apartment for Sale in Diplomatic Enclave, Islamabad ## Location Diplomatic Enclave, Islamabad (prestigious and secure neighborhood) Details - 2 spacious bedrooms - Semi-furnished with modern fixtures and amenities - Newly renovated with high-quality finishes - Secure building with 24/7 security Features - Prime location with easy access to key areas - Modern amenities and facilities - Peaceful and serene environment - Excellent investment opportunity Ideal for Those seeking a luxurious and secure lifestyle in a prime location. Contact us for more information or to schedule a viewing. Own a piece of luxury in Islamabad's most sought-after neighborhood!","Parking Spaces: 1, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Furnished","Bedrooms: 2, Bathrooms: 2, Drawing Room, Dining Room, Kitchens: 1, Gym, Lounge or Sitting Room, Laundry Room","Broadband Internet Access, Satellite or Cable TV Ready","Community Lawn or Garden, Community Gym, First Aid or Medical Centre, Kids Play Area, Community Centre",,"Maintenance Staff, Security Staff",True,False,False,False,0,,1.0,,1.0,,,,2.0,2.0,,1.0,,,1.0,,,,1.0,1.0,,,,
254,Flat,13.25,4.0,11.8,3.0,Karakoram Diplomatic Enclave,"Luxurious 3-Bedroom Fully Furnished Corner Apartment for Sale in Karakoram Diplomatic Enclave Location Karakoram Diplomatic Enclave (prestigious and secure neighborhood) Details - 3 spacious bedrooms - 2660 sqft living area - Two-side corner apartment with stunning hill views - Fully furnished with modern fixtures and amenities Features - Secure and serene environment - Prime location with scenic views - Luxurious living experience with high-end finishes - Ideal for diplomats, expats, or high-end residents Rental Value 2500-3000 USD Contact us for more information or to schedule a viewing. Own a luxurious, fully furnished corner apartment with breathtaking views!","Lobby in Building, Central Air Conditioning, Central Heating, Waste Disposal, Service Elevators in Building",,"Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre",,"Maintenance Staff, Security Staff, Laundry or Dry Cleaning Facility, Facilities for Disabled, Other Facilities",True,False,False,True,0,,,,1.0,,1.0,,,,,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,,
260,Flat,1.05,2.0,4.9,1.0,Bahria Town,Cube Apartment One Bedroom Apartment Beautiful Terrace View Car Parking Peaceful Environment Attractive and Splendid Views All Living Facilities and Amenities are Available Secure Living Standards 24 7 Power Supply and Many More Come and avail this opportunity because all basic requirements are available at your door step Contact us for More Details,"Built in year: 2022, Parking Spaces: 1, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor: 2, Floors in Building: 10, Elevators: 4, Service Elevators in Building, Other Main Features, Furnished","Bedrooms: 1, Bathrooms: 2, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, ATM Machines, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Maintenance Staff, Security Staff, Laundry or Dry Cleaning Facility, Facilities for Disabled, Pets Allowed, Other Facilities",False,False,False,False,0,2022.0,1.0,2.0,1.0,4.0,1.0,10.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,
264,Flat,0.38,1.0,1.5,1.0,Bahria Town,"Good News ! Experience the Refinement of Rahmat Enterprises' Second Project named Rahmat Heights 2: Your Studio apartment awaits in Bahria Enclave Islamabad. Some Key features & Details : Apartment Area : 330 sq. ft One Bed room with attached washroom TV Lounge Open Kitchen Adjacent to Bahria Enclave Head Office 24/7 Lift & Security Gated Community 24/7 Electricity Backup Located in Civic Zone Bahria Enclave American Lycetuff School & a Mosque within walk distance Possession will be given within 8 months 1 Year Installment Plan can also be availed for This Apartment This is a best opportunity for secure investment with a very reasonable price. Down Size your Space, Upsize your Life Your Smart Move in Bahria Enclave, Brought to you by Rahmat Enterprises For Further details & visit Kindly Contact","Built in year: 2025, Parking Spaces: 2, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor, Floors in Building: 5, Elevators: 1, Service Elevators in Building, Other Main Features, Furnished","Bedrooms: 1, Bathrooms: 1, Drawing Room, Dining Room, Kitchens: 1, Prayer Room, Store Rooms: 1, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities",Other Healthcare and Recreation Facilities,"Maintenance Staff, Security Staff, Laundry or Dry Cleaning Facility, Facilities for Disabled, Other Facilities",False,False,False,False,0,2025.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,
265,Flat,5.75,1.0,3.9,1.0,F-8,"Note: Dealers and intermediaries are requested not to contact. This property is available only for direct buyers or genuine end users. Only serious inquiries will be entertained. Demand Pkr. 57,500,000/- Area: 882 SQ. FT. Beautiful View of Islamabad Lush Greenery Fully Furnished Rental value: PKR. 280,000 to PKR 300,000 per Month Facilities Include. Swimming Pool Sauna Room Stream Room Jacuzzi Ladies And Gents Separate Gym Table Tennis Squash Court Snooker Socker Other Facilities; Shopping Mall Uninterrupted Electricity Supply Backup Generator Plants Central Heating And Cooling System With Separate HVAC Unit For Each Apartment High Quality Fitting Fixture Visitors Lobby With Intercom Facility Dedicated Entrance And Car Parking Basement Floor For Residents Uninterrupted Water Supply High Speed Elevators And Service Lifts Structure Design To Withstand Earthquake Upto 9.5 On Rector Scale International Construction Company Ranked Number 12 In International Ranking World Famous Architects Of Burj Ul Arab Fame Design The Centaurus.","Parking Spaces: 1, Lobby in Building, Central Air Conditioning, Flooring, Electricity Backup, Waste Disposal, Furnished","Bedrooms: 1, Bathrooms: 1, Drawing Room, Dining Room, Kitchens: 1, Prayer Room, Powder Room, Gym, Steam Room, Lounge or Sitting Room, Laundry Room","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Kids Play Area, Mosque, Community Centre","Sauna, Jacuzzi","Maintenance Staff, Security Staff, Laundry or Dry Cleaning Facility, Facilities for Disabled, Pets Not Allowed, Other Facilities",False,False,False,False,0,,1.0,,1.0,,,,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,
269,Flat,0.3975,1.0,2.7,1.0,D-17,"One Bed Fully Furnished Apartment's Available For Sale The current market conditions makes the deal fairly attractive for buyers eyeing property in Islamabad. This property is definitely not a miss! So, buy it before it gets off of your radar. Now is the time to book your unit at PKR Rs. 3975000 as it is a lucrative investment option in the long run. This 600 Square Feet Flat is the best real estate asset you can purchase at the moment. A Flat in Margalla View Housing Society comes with many benefits, prime among which is the ease of access to public transport and facilities. A Flat you have been looking to buy for years is available for sale and right now its price is very affordable. What more this property has to tell you is written below. A furnished Flat takes the burden of decorating off your shoulders and you can just enjoy the space. The building has a service elevator that you can use to transport your luggage conveniently to your floor. A beautifully designed prayer room is another feature of the Flat that you will come to love. The building includes a well-designed lobby. Double glazed windows in the Flat helps maintain the temperature inside. You don't have to worry about waste disposal in your new place. Its already been taken care of. For further correspondence about the property, you can fill the form and we'll get in touch.","Built in year: 2016, Parking Spaces: 1, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor: 3, Floors in Building: 4, Elevators: 1, Service Elevators in Building, Other Main Features, Furnished","Bedrooms: 1, Bathrooms: 1, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Maintenance Staff, Security Staff, Laundry or Dry Cleaning Facility, Communal/Shared Kitchen, Facilities for Disabled, Pets Allowed, Other Facilities",False,False,False,False,0,2016.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
282,Flat,19.64,4.0,13.4,2.0,F-8,"Ultra Luxury 2 Bedroom Duplex Apartment with Maid Room Demand: PKR 19,63,65000/- Resident and his family will enjoy health club facilities. Health club facilities includes. Swimming pool Sauna room Stream room Jacuzzi Ladies and Gents separate gym Table tennis Squash court Snooker Socker Other facilities; Shopping Mall Uninterrupted electricity supply Backup generator plants Central heating and cooling system with separate HVAC unit for each apartment High quality fitting fixture Visitors lobby with intercom facility Dedicated entrance and car parking basement floor for residents Uninterrupted water supply High speed elevators and service lifts Structure design to withstand earthquake upto 9.5 on rector scale International Construction Company ranked number 12 in international ranking World famous Architects of Burj ul Arab fame design The Centaurus.","Built in year: 2022, Parking Spaces: 1, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor: 1, Floors in Building: 1, Elevators: 4, Service Elevators in Building, Other Main Features, Furnished","Bedrooms: 2, Bathrooms: 4, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Maintenance Staff, Security Staff, Laundry or Dry Cleaning Facility, Facilities for Disabled, Pets Not Allowed, Other Facilities",False,False,False,False,0,2022.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,
283,Flat,3.9,1.0,3.0,1.0,F-8,Studio Apartment available For Rent in the Centaurus Islamabad. Owner and His Family Will Enjoy Health Club Facilities. Health Club Facilities Includes. Swimming Pool Sauna Room Stream Room Jacuzzi Ladies And Gents Separate Gym Table Tennis Squash Court Snooker Socker Other Facilities; Shopping Mall Uninterrupted Electricity Supply Backup Generator Plants Central Heating And Cooling System With Separate HVAC Unit For Each Apartment High Quality Fitting Fixture Visitors Lobby With Intercom Facility Dedicated Entrance And Car Parking Basement Floor For Residents Uninterrupted Water Supply High Speed Elevators And Service Lifts Structure Design To Withstand Earthquake Upto 9 On Rector Scale International Construction Company Ranked Number 12 In International Ranking World Famous Architects Of Burj Ul Arab Fame Design The Centaurus.,"Built in year: 5, Parking Spaces: 1, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor: 37, Floors in Building: 37, Elevators: 4, Service Elevators in Building, Furnished","Bedrooms: 1, Bathrooms: 1, Servant Quarters, Drawing Room, Dining Room, Kitchens: 1, Prayer Room, Gym, Steam Room, Lounge or Sitting Room, Laundry Room","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, ATM Machines","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre","Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Maintenance Staff, Security Staff, Laundry or Dry Cleaning Facility, Facilities for Disabled, Pets Not Allowed",False,False,False,False,0,5.0,1.0,37.0,1.0,4.0,1.0,37.0,1.0,1.0,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,
286,Flat,1.05,2.0,5.8,2.0,Faisal Town - F-18,2 Bed Apartment Available For Sale. In Faisal Town F-18 Islamabad. Apartment Size 1300 Sq Ft. 2 Bedrooms. 2 Baths. TV Lounge. Kitchen. Alavbility faisal town facing Margala facing Moterway facing Rental Value Rs 70 to 80 Close to Gate 2 Near to Park. Near to Masjid. Near to Markaz. All Facilities Available. Interested People Can Contact Easily.,"Built in year: 2024, Parking Spaces: 1, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor: 8, Floors in Building: 17, Elevators: 5, Service Elevators in Building, Other Main Features, Furnished","Bedrooms: 2, Bathrooms: 2, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre","Sauna, Other Healthcare and Recreation Facilities","Maintenance Staff, Security Staff, Laundry or Dry Cleaning Facility, Facilities for Disabled, Pets Allowed, Other Facilities",False,False,False,False,0,2024.0,1.0,8.0,1.0,5.0,1.0,17.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,
303,Flat,1.08,2.0,5.1,1.0,Bahria Town,"Murree Facing 1 Bed Designer Apartment for Sale 1150sqft Apartments, Sector A , Bahria Enclave Islamabad Location: Cube Apartments, Sector A Bahria Enclave Islamabad Size: 1150 Bedroom: 1 Bathroom: 2(Attached, Modern Design) Lounge + Dining Open Style Kitchen View: Breathtaking Margalla Hills View Construction: Solid, Designer Finish Building Amenities: 24/7 Security & CCTV Surveillance Fast Elevators & Backup Generator Basement Car Parking Lobby & Reception Area Well-Maintained Common Areas Gated Community with Full Bahria Facilities Location Highlights: Located in Cube Apartments Walking Distance to Masjid, Park & Commercial Nearby Schools, Clinics, Grocery Stores & Restaurants Peaceful Neighborhood with Clean Surroundings Ideal For: End-users looking for modern and peaceful living Investors seeking strong rental yield and capital appreciation Small families, couples, students, or short-term rental income.","Built in year: 2024, Parking Spaces: 1, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor: 4, Floors in Building: 9, Elevators: 2, Service Elevators in Building, Other Main Features, Furnished","Bedrooms: 1, Bathrooms: 2, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities",False,False,False,False,0,2024.0,1.0,4.0,1.0,2.0,1.0,9.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,
317,Flat,7.5,2.0,8.9,2.0,Karakoram Diplomatic Enclave,"2 Bedroom with attach washroom, Drawing Dining Kitchen, Store room, Excellent View. Modern Building with Modern Elevators. Dedicated parking, 24/7 Security. Good rental returns. Please do contact for more details. There is nothing better than purchasing your property in a thriving locality and we have just the options for you. Are you looking for property in Karakoram Diplomatic Enclave? Your search is over! Recent real estate projects have increased the number of investment opportunities in Karakoram Diplomatic Enclave. If you're looking for property sized 2000 Square Feet, you're in the right place. Trust us when we say, this property at Rs. 75,000,000/- is the best investment you could wish for! This Flat is a great investment opportunity. You can read the notable property features below. You will find installations and facilities for disabled persons in the Flat that support their ease of movement. For the ultimate luxury experience, the property also has a sauna for a healthier and relaxed state of body and mind. Your search for a furnished Flat ends with this beautifully decorated property. A prayer room in the Flat comes handy when you have guests and they would like to offer prayer. One of the many great features of the property is its powder room. Your kids can play to their heart's content in the play area adjoining the property. Enjoy the convenience and comfort of broadband internet access. Please call for further queries.","Parking Spaces: 1, Lobby in Building, Double Glazed Windows, Flooring, Electricity Backup, Waste Disposal, Elevators: 3, Service Elevators in Building, Furnished","Bedrooms: 2, Bathrooms: 2, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Powder Room, Store Rooms: 1, Lounge or Sitting Room, Laundry Room","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, ATM Machines","Community Lawn or Garden, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque",,"Maintenance Staff, Security Staff",False,False,False,False,0,,1.0,,1.0,3.0,1.0,,2.0,2.0,1.0,1.0,1.0,,1.0,,,,1.0,1.0,,,,
320,Flat,1.5,4.0,6.7,3.0,DHA Defence,There Are 3 Bedrooms Apartments With Drwing Room 4 Bothrooms Open Kitchen Tv Lounge Area Sqft 1509 Corner And Park Face Apartment Dem On Call,"Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Elevators, Service Elevators in Building","Drawing Room, Dining Room",Broadband Internet Access,"Community Lawn or Garden, Mosque, Community Centre",,,False,False,False,True,0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
321,Flat,6.0,4.0,11.6,4.0,F-11,"F11 Markaz Apartment for sale Sughra tower ,front Facing ,corner Floor 4rth Size 2600sqft 4 bed rooms with attached bath Tv lounge Kitchen Drawing dinning Electricity Gas water available Central heating system installed Demand 6cr Natural lighting in rooms. 2 minute walk from F11 Markaz. Prime Location. All necessities available. Two garage parking spots included. Servant Quarter available for extra price. Rental value furnished, 350Lac/Non furnished 220Lac Slightly Negotiable. For more details or visit plz contact EarthvisionRealestate&builders",,,,,,,True,False,False,True,1,,,,,,,,,,,,,,,,,,,,,,,
322,Flat,0.68,1.0,3.1,1.0,Bahria Town,"Murree facing Luxury Apartment for Sale 770sqft Cube Apartments, Sector A, Bahria Enclave Islamabad Location: Cube Apartments, Sector A Bahria Enclave Islamabad Size: 770sqft Bedroom: 1 Bathroom: 1 (Attached, Modern Design) Open Style Kitchen View: Breathtaking Margalla Hills View Construction: Solid, Designer Finish Building Amenities: 24/7 Security & CCTV Surveillance Murree Facing Fast Elevators & Backup Generator Basement Car Parking Lobby & Reception Area Well-Maintained Common Areas Gated Community with Full Bahria Facilities Location Highlights: Located in Cube Apartments Walking Distance to Masjid, Park & Commercial Nearby Schools, Clinics, Grocery Stores & Restaurants Peaceful Neighborhood with Clean Surroundings Ideal For: End-users looking for modern and peaceful living Investors seeking strong rental yield and capital appreciation Small families, couples, students, or long term rental income","Built in year: 2025, Parking Spaces: 1, Lobby in Building, Double Glazed Windows, Flooring, Electricity Backup, Waste Disposal, Floor: 5, Floors in Building: 9, Elevators: 5, Service Elevators in Building, Other Main Features","Bedrooms: 1, Bathrooms: 1, Servant Quarters, Dining Room, Kitchens: 2, Store Rooms, Lounge or Sitting Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom","Community Lawn or Garden, First Aid or Medical Centre, Day Care Centre, Mosque, Community Centre",Other Healthcare and Recreation Facilities,"Maintenance Staff, Security Staff, Laundry or Dry Cleaning Facility, Other Facilities",False,False,False,False,0,2025.0,1.0,5.0,1.0,5.0,1.0,9.0,1.0,1.0,0.0,2.0,0.0,,,,,,1.0,1.0,,1.0,,
325,Flat,1.4,3.0,6.3,3.0,GT Road,"Accommodation Details: Size: 1414 Sq. Ft 3 Bedrooms with Attached Baths TV Lounge & Sitting Area Separate Kitchen Store Room Spacious Balcony Features & Location Highlights: Located in El-Cielo Tower B, Defence Residency 24/7 Security, Electricity, Water Supply & Lifts Under-roof Car Parking Peaceful Family Environment Nearby Landmarks: Walking Distance to Giga Mall and G. T. Road Close to Mosque, Commercial Areas, Schools, and Parks","Built in year: 2022, Parking Spaces: 3, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor: 3, Floors in Building: 10, Elevators: 2, Service Elevators in Building, Other Main Features","Bedrooms: 3, Bathrooms: 3, Servant Quarters, Drawing Room, Dining Room, Kitchens: 1, Prayer Room, Powder Room, Gym, Store Rooms: 1, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities",Other Healthcare and Recreation Facilities,"Maintenance Staff, Security Staff, Facilities for Disabled, Pets Allowed, Other Facilities",False,False,False,False,0,2022.0,3.0,3.0,1.0,2.0,1.0,10.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,
