,Type,Price(Cr),Bath(s),Area(Marla),Bedroom(s),Location,Description,Amenities: Main Features,Amenities: Rooms,Amenities: Business and Communication,Amenities: Community Features,Amenities: Healthcare Recreational,Amenities: Other Facilities,IsPrimeLoc,SolarInstalled,WaterBore,CornerHouse,luxury_type,Built in year,Parking Spaces,Floor,Bedrooms,Bathrooms,Servant Quarters,Kitchens,Store Rooms,Swimming Pool,Storey Unit,BedBath_Diff
10,House,12.7,6.0,20.0,5.0,DHA Defence,"1 Kanal Beautiful House for Sale DHA Phase 2, Islamabad Spacious | Stylish | Ready to Move In | Ideal Location Plot Size: 1 Kanal Location: Prime Sector, DHA Phase 2, Islamabad One of the most secure and sought-after residential communities 5 Spacious Bedrooms Each with attached modern bathrooms 2 Stylish Kitchens Fully equipped with high-quality fittings Large TV Lounge & Drawing Room Perfect for family and guests Elegant Dining Area Well-planned and functional Servant Quarter Separate entrance and facilities Laundry Area & Store Room Practical and organized layout Car Parking Space Easily fits 34 vehicles High-Quality Finishes Solid woodwork, tiled flooring, and contemporary fixtures Well-Maintained Lawn Ideal for relaxation, gatherings, and kids playtime Peaceful & Secure Neighborhood Gated with 24/7 security surveillance Surrounding Amenities: 2 mins from Giga Mall & D Mall Premium shopping and entertainment Nearby top schools like Roots International & The Lyceum Close to reputed hospitals and clinics Multiple mosques within walking distance Direct access to GT Road & Islamabad Expressway Smooth connectivity Close to parks, jogging tracks, and recreational areas","Built in year: 2025, Parking Spaces: 1, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features, Furnished","Bedrooms: 2, Bathrooms: 3, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities",False,False,False,False,0,2025.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,-1.0
11,House,2.85,6.0,6.0,4.0,Jinnah Garden,"Brand new CDA LOP clear Double storey house for sale in Jinnah garden phase 1 Islamabad Dimension: 6 Marla(25x60) Accommodation: 4 Bedrooms with Attached washrooms Kitchen,TV lounge,Drawing room on each floor Underground Electricity and water bore Available Near Market,Masjid and School 40ft Wide Street. Price is negotiable. For more details and visit Please contact","Built in year: 2025, Parking Spaces: 1, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features, Furnished","Bedrooms: 4, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities",False,False,True,False,0,2025.0,1.0,2.0,4.0,6.0,1.0,2.0,1.0,1.0,2.0,-2.0
13,House,2.8,6.0,8.0,5.0,Jinnah Garden,"Used Lop clear house in Jinnah garden phase 1 Islamabad Prime Location of Jinnah garden and 2 mins drive from Main Express highway This house has 5 master bedrooms with attached washrooms. Tv lounge, Drawing room, Kitchen on each floor. Electricity and water available Parking for 2 Cars. Basic Amenities like School, Masjid, Parks available near this house. Price is Negotiable. For more details and visit pls contact.","Built in year: 2022, Parking Spaces: 2, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features, Furnished","Bedrooms: 5, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 2, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities",True,False,False,False,0,2022.0,2.0,2.0,5.0,6.0,1.0,2.0,2.0,1.0,2.0,-1.0
14,House,2.25,3.0,8.0,2.0,Jinnah Garden,"Brand new Modern designed single storey house in Jinnah garden phase 1 Islamabad. 2 Bedrooms with attached washrooms Kitchen,Tv lounge,Drawing room 2 Cars Parking Electricity and water bore Available 40ft Wide Street. Basic Amenities School,Masjid,Market near this house. For more details and visit plz contact.","Built in year: 2025, Parking Spaces: 2, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 1, Other Main Features","Bedrooms: 2, Bathrooms: 3, Servant Quarters, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities",False,False,True,False,0,2025.0,2.0,1.0,2.0,3.0,,1.0,,1.0,1.0,-1.0
15,House,3.4,6.0,8.0,5.0,Jinnah Garden,"Brand new Double Storey CDA LOP clear house in Jinnah garden phase 1 Islamabad Modern and Elegant designed house in the town where you can live and enjoy your life. Accommodation: 5Master Bedrooms with attached Bathrooms Kitchen,Tv lounge, Drawing room on each floor Powder Room Electricity and water supply available Basic Amenities like School,Masjid,Market near this house. Price is Negotiable For more details and visit please contact me.","Built in year: 2025, Parking Spaces: 2, Double Glazed Windows, Flooring, Floors: 2","Bedrooms: 5, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Kitchens: 2, Study Room, Powder Room, Lounge or Sitting Room, Laundry Room","Broadband Internet Access, Satellite or Cable TV Ready","Community Lawn or Garden, Kids Play Area, Barbeque Area, Mosque",Lawn or Garden,"Security Staff, Other Facilities",False,False,False,False,1,2025.0,2.0,2.0,5.0,6.0,1.0,2.0,,,2.0,-1.0
17,House,16.0,6.0,20.0,5.0,F-11,House Available For Sale CDA Sectors Islamabad 5 Marla 8 Marla 10 Marla 14 Marla 16 Marla 20 Marla House Front Open House Park Facing House General Plot &Amp; Houses,"Built in year: 2023, Parking Spaces, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features, Furnished","Bedrooms: 2, Bathrooms: 2, Servant Quarters: 2, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 2, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities",False,False,False,False,0,2023.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,-1.0
18,House,14.5,7.0,16.0,6.0,F-11,House For Sale 400Sq. yd in F/11 6Bedrooms Triple Story House CDA Transfer Further Information call us;,"Built in year: 1998, Parking Spaces: 2, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Floors: 3, Other Main Features","Bedrooms: 1, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Store Rooms: 1, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Security Staff, Other Facilities",False,False,False,False,0,1998.0,2.0,3.0,1.0,6.0,1.0,1.0,1.0,1.0,3.0,-1.0
19,House,22.0,7.0,20.0,6.0,F-11,Corner House for sale in CDA Sector Islamabad F/11 Beautiful Location 6 Bedroom 4 Carparking CDA Transfer Ready to move further Details call us;,"Built in year: 1998, Parking Spaces: 4, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Floors: 2, Other Main Features","Bedrooms: 6, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Store Rooms: 1, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Security Staff, Other Facilities",False,False,False,True,0,1998.0,4.0,2.0,6.0,6.0,1.0,2.0,1.0,1.0,2.0,-1.0
20,House,9.75,7.0,8.0,7.0,D-12,"8 Marla Beautiful Triple Story House for Sale Prime Location Near Markaz & Park Description: Spacious and well-maintained 8 Marla Triple Story house available for sale in a highly desirable location. Ideal for families looking for comfort and convenience. Key Features: 7 Bedrooms with Attached Bathrooms Spacious Kitchen, TV Lounge & Drawing Room Separate Dining Area Car Porch Prime Location Walking Distance to Markaz & Park Peaceful and Family-Friendly Neighborhood Don't miss out on this excellent rental opportunity! Contact now to schedule a visit.","Built in year, Parking Spaces: 4, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 3, Other Main Features, Furnished","Bedrooms: 7, Bathrooms: 7, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 3, Study Room, Prayer Room, Powder Room, Gym, Store Rooms, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities",True,False,False,False,0,,4.0,3.0,7.0,7.0,1.0,,,1.0,3.0,0.0
21,House,8.75,6.0,8.0,4.0,D-12,"8 Marla Beautiful Double Unit House for Sale Prime Location Near Markaz & Park Description: Spacious and well-maintained 8 Marla Double unit house available for rent in a highly desirable location. Ideal for families looking for comfort and convenience. Key Features: 4 Bedrooms with Attached Bathrooms Spacious Kiitchen, TV Lounge & Drawing Room Separate Dining Area Car Porch Prime Location Walking Distance to Markaz & Park Peaceful and Family-Friendly Neighborhood Don't miss out on this excellent rental opportunity! Contact now to schedule a visit.","Built in year, Parking Spaces: 1, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features","Bedrooms: 4, Bathrooms: 5, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities",,True,False,False,False,0,,1.0,2.0,4.0,5.0,1.0,2.0,1.0,1.0,2.0,-2.0
